,时间间隔,收盘,开盘,最高,最低
11,14:00 - 14:30,22597.2,22597.2,22597.2,22597.2
24,14:00 - 14:30,22724.96,22724.96,22724.96,22724.96
37,14:00 - 14:30,22819.03,22819.03,22819.03,22819.03
50,14:00 - 14:30,22707.16,22707.16,22707.16,22707.16
63,14:00 - 14:30,22622.38,22622.38,22622.38,22622.38
76,14:00 - 14:30,22177.04,22177.04,22177.04,22177.04
89,14:00 - 14:30,22498.03,22498.03,22498.03,22498.03
102,14:00 - 14:30,22811.08,22811.08,22811.08,22811.08
115,14:00 - 14:30,22938.73,22938.73,22938.73,22938.73
128,14:00 - 14:30,22866.17,22866.17,22866.17,22866.17
141,14:00 - 14:30,22758.07,22758.07,22758.07,22758.07
154,14:00 - 14:30,22694.45,22694.45,22694.45,22694.45
167,14:00 - 14:30,22553.22,22553.22,22553.22,22553.22
180,14:00 - 14:30,22901.77,22901.77,22901.77,22901.77
193,14:00 - 14:30,22868.0,22868.0,22868.0,22868.0
206,14:00 - 14:30,22891.72,22891.72,22891.72,22891.72
219,14:00 - 14:30,22866.1,22866.1,22866.1,22866.1
232,14:00 - 14:30,22902.76,22902.76,22902.76,22902.76
245,14:00 - 14:30,22939.18,22939.18,22939.18,22939.18
258,14:00 - 14:30,22892.69,22892.69,22892.69,22892.69
271,14:00 - 14:30,22911.21,22911.21,22911.21,22911.21
284,14:00 - 14:30,22783.98,22783.98,22783.98,22783.98
297,14:00 - 14:30,22764.94,22764.94,22764.94,22764.94
310,14:00 - 14:30,23506.33,23506.33,23506.33,23506.33
323,14:00 - 14:30,23714.53,23714.53,23714.53,23714.53
336,14:00 - 14:30,23849.99,23849.99,23849.99,23849.99
349,14:00 - 14:30,23788.2,23788.2,23788.2,23788.2
362,14:00 - 14:30,23710.43,23710.43,23710.43,23710.43
375,14:00 - 14:30,23653.82,23653.82,23653.82,23653.82
388,14:00 - 14:30,23714.88,23714.88,23714.88,23714.88
401,14:00 - 14:30,23951.81,23951.81,23951.81,23951.81
414,14:00 - 14:30,23868.34,23868.34,23868.34,23868.34
427,14:00 - 14:30,23763.37,23763.37,23763.37,23763.37
440,14:00 - 14:30,23808.06,23808.06,23808.06,23808.06
453,14:00 - 14:30,23816.33,23816.33,23816.33,23816.33
466,14:00 - 14:30,24124.15,24124.15,24124.15,24124.15
479,14:00 - 14:30,23940.78,23940.78,23940.78,23940.78
492,14:00 - 14:30,23669.49,23669.49,23669.49,23669.49
505,14:00 - 14:30,23631.88,23631.88,23631.88,23631.88
518,14:00 - 14:30,23629.34,23629.34,23629.34,23629.34
531,14:00 - 14:30,23291.97,23291.97,23291.97,23291.97
544,14:00 - 14:30,23098.29,23098.29,23098.29,23098.29
557,14:00 - 14:30,23486.11,23486.11,23486.11,23486.11
570,14:00 - 14:30,23274.53,23274.53,23274.53,23274.53
583,14:00 - 14:30,22682.08,22682.08,22682.08,22682.08
596,14:00 - 14:30,21610.24,21610.24,21610.24,21610.24
609,14:00 - 14:30,21645.37,21645.37,21645.37,21645.37
